Order ID,Production Start Date,Completion Date,Delays (days),Issues
O001471,2023-03-09,2023-03-10,0,Material Shortage
O001472,2023-10-21,2023-10-28,0,None
O001473,2023-09-15,2023-09-24,3,Machine Breakdown
O001474,2023-03-24,2023-03-29,3,Material Shortage
O001475,2023-09-21,2023-09-22,4,Quality Issue
O001476,2023-10-09,2023-10-14,0,Material Shortage
O001477,2023-07-05,2023-07-09,1,None
O001478,2023-01-17,2023-01-27,3,Material Shortage
O001479,2023-10-23,2023-11-01,0,Machine Breakdown
O001480,2023-11-10,2023-11-17,2,Quality Issue
O001481,2023-12-25,2024-01-04,2,Machine Breakdown
O001482,2023-06-20,2023-06-23,0,Machine Breakdown
O001483,2023-07-01,2023-07-10,4,Material Shortage
O001484,2023-07-19,2023-07-25,1,Material Shortage
O001485,2023-12-30,2024-01-03,4,None
O001486,2023-07-12,2023-07-18,3,Machine Breakdown
O001487,2023-10-09,2023-10-14,1,Machine Breakdown
O001488,2023-01-29,2023-02-08,1,None
O001489,2023-06-12,2023-06-16,1,None
O001490,2023-02-24,2023-03-02,0,Quality Issue
O001491,2023-05-15,2023-05-20,1,Material Shortage
O001492,2023-04-30,2023-05-02,3,Quality Issue
O001493,2023-05-31,2023-06-05,1,None
O001494,2023-12-26,2023-12-31,0,Quality Issue
O001495,2023-01-15,2023-01-24,3,Machine Breakdown
O001496,2023-12-08,2023-12-18,1,Machine Breakdown
O001497,2023-08-17,2023-08-27,1,None
O001498,2023-10-08,2023-10-12,0,Material Shortage
O001499,2023-10-16,2023-10-18,3,Material Shortage
O001500,2023-12-19,2023-12-29,0,Material Shortage
O001501,2023-02-23,2023-02-25,1,Machine Breakdown
O001502,2023-05-18,2023-05-23,1,Quality Issue
O001503,2023-12-23,2023-12-29,3,Material Shortage
O001504,2023-03-15,2023-03-24,3,Quality Issue
O001505,2023-02-11,2023-02-12,1,Machine Breakdown
O001506,2023-02-26,2023-02-28,1,None
O001507,2023-11-16,2023-11-21,2,None
O001508,2023-06-27,2023-07-05,3,None
O001509,2023-04-25,2023-04-27,3,Material Shortage
O001510,2023-05-16,2023-05-21,1,Material Shortage
O001511,2023-10-09,2023-10-12,0,None
O001512,2023-12-21,2023-12-31,0,Material Shortage
O001513,2023-06-13,2023-06-19,4,Machine Breakdown
O001514,2023-06-21,2023-06-25,4,Machine Breakdown
O001515,2023-12-28,2023-12-31,4,None
O001516,2023-05-26,2023-06-04,1,None
O001517,2023-05-19,2023-05-27,1,Machine Breakdown
O001518,2023-12-24,2023-12-31,4,Quality Issue
O001519,2023-12-31,2024-01-08,2,None
O001520,2023-11-09,2023-11-15,4,Material Shortage
O001521,2023-05-26,2023-06-05,3,None
O001522,2023-09-18,2023-09-19,1,Machine Breakdown
O001523,2023-07-17,2023-07-18,1,Material Shortage
O001524,2023-10-21,2023-10-22,4,None
O001525,2023-05-11,2023-05-17,3,Quality Issue
O001526,2023-12-22,2023-12-28,3,Quality Issue
O001527,2023-05-23,2023-05-27,0,Machine Breakdown
O001528,2023-12-08,2023-12-10,3,None
O001529,2023-09-23,2023-10-03,2,None
O001530,2023-12-07,2023-12-15,4,Machine Breakdown
O001531,2023-05-03,2023-05-13,2,Material Shortage
O001532,2023-01-14,2023-01-19,3,Material Shortage
O001533,2023-07-09,2023-07-12,0,Machine Breakdown
O001534,2023-03-05,2023-03-07,2,Material Shortage
O001535,2023-05-12,2023-05-21,3,Machine Breakdown
O001536,2023-09-25,2023-10-02,1,Quality Issue
O001537,2023-06-24,2023-06-30,2,Material Shortage
O001538,2023-06-12,2023-06-19,1,None
O001539,2023-08-10,2023-08-18,2,None
O001540,2023-10-06,2023-10-12,3,None
O001541,2023-06-03,2023-06-06,1,None
O001542,2023-05-23,2023-05-30,1,Quality Issue
O001543,2023-06-27,2023-06-30,2,Quality Issue
O001544,2023-05-07,2023-05-08,3,Material Shortage
O001545,2023-09-01,2023-09-08,1,Quality Issue
O001546,2023-07-28,2023-08-05,3,None
O001547,2023-03-19,2023-03-26,2,None
O001548,2023-08-01,2023-08-05,4,Material Shortage
O001549,2023-06-23,2023-06-24,2,Material Shortage
O001550,2023-12-25,2023-12-27,1,Material Shortage
O001551,2023-06-10,2023-06-16,3,Material Shortage
O001552,2023-01-10,2023-01-12,3,Material Shortage
O001553,2023-10-26,2023-11-05,2,None
O001554,2023-07-13,2023-07-21,2,Machine Breakdown
O001555,2023-11-18,2023-11-25,2,Material Shortage
O001556,2023-10-18,2023-10-26,3,None
O001557,2023-04-09,2023-04-15,0,Quality Issue
O001558,2023-07-28,2023-08-07,3,Material Shortage
O001559,2023-11-09,2023-11-19,1,None
O001560,2023-03-09,2023-03-17,3,Machine Breakdown
O001561,2023-11-30,2023-12-06,4,Material Shortage
O001562,2023-01-24,2023-01-30,0,None
O001563,2023-10-31,2023-11-06,0,None
O001564,2023-02-16,2023-02-22,4,Material Shortage
O001565,2023-01-13,2023-01-20,4,None
O001566,2023-07-25,2023-07-30,3,Material Shortage
O001567,2023-11-11,2023-11-19,0,Material Shortage
O001568,2023-11-25,2023-11-27,1,Quality Issue
O001569,2023-04-15,2023-04-24,4,None
O001570,2023-01-24,2023-01-26,2,None
O001571,2023-07-06,2023-07-12,2,None
O001572,2023-02-15,2023-02-25,2,Machine Breakdown
O001573,2023-11-28,2023-12-07,4,Machine Breakdown
O001574,2023-06-18,2023-06-28,2,Machine Breakdown
O001575,2023-10-13,2023-10-19,0,Machine Breakdown
O001576,2023-02-26,2023-02-27,2,Quality Issue
O001577,2023-05-16,2023-05-26,1,Material Shortage
O001578,2023-08-04,2023-08-10,0,Machine Breakdown
O001579,2023-05-13,2023-05-18,2,Quality Issue
O001580,2023-07-27,2023-08-03,3,Machine Breakdown
O001581,2023-11-22,2023-11-30,3,Quality Issue
O001582,2023-04-19,2023-04-28,4,Material Shortage
O001583,2023-09-01,2023-09-08,3,None
O001584,2023-11-26,2023-12-01,2,Quality Issue
O001585,2023-12-08,2023-12-10,1,Machine Breakdown
O001586,2023-07-23,2023-07-27,2,Material Shortage
O001587,2023-10-06,2023-10-13,0,None
O001588,2023-08-22,2023-08-25,3,Quality Issue
O001589,2023-09-13,2023-09-19,4,Quality Issue
O001590,2023-07-31,2023-08-08,4,Material Shortage
O001591,2023-08-14,2023-08-23,0,Machine Breakdown
O001592,2023-09-14,2023-09-16,1,None
O001593,2023-01-25,2023-02-04,4,Quality Issue
O001594,2023-06-26,2023-06-28,2,Material Shortage
O001595,2023-10-28,2023-10-30,4,Machine Breakdown
O001596,2023-12-09,2023-12-12,4,None
O001597,2023-07-12,2023-07-19,2,Material Shortage
O001598,2023-07-09,2023-07-18,0,Machine Breakdown
O001599,2023-09-13,2023-09-16,3,Material Shortage
O001600,2023-07-26,2023-07-31,4,Quality Issue
O001601,2023-09-10,2023-09-14,1,Quality Issue
O001602,2023-12-10,2023-12-13,0,Quality Issue
O001603,2023-06-30,2023-07-08,1,Material Shortage
O001604,2023-11-29,2023-12-09,3,None
O001605,2023-10-13,2023-10-15,1,Machine Breakdown
O001606,2023-05-01,2023-05-07,4,Material Shortage
O001607,2023-05-19,2023-05-27,0,Machine Breakdown
O001608,2023-08-28,2023-08-30,2,None
O001609,2023-04-22,2023-04-28,1,Machine Breakdown
O001610,2023-06-20,2023-06-27,2,Quality Issue
O001611,2023-11-05,2023-11-15,0,None
O001612,2023-08-13,2023-08-18,2,None
O001613,2023-04-02,2023-04-09,0,Quality Issue
O001614,2024-01-01,2024-01-06,0,Material Shortage
O001615,2023-01-09,2023-01-17,0,Material Shortage
O001616,2023-04-04,2023-04-06,3,None
O001617,2023-04-18,2023-04-24,0,Quality Issue
O001618,2023-04-20,2023-04-22,1,None
O001619,2023-08-01,2023-08-08,3,Machine Breakdown
O001620,2023-12-27,2023-12-30,4,Material Shortage
O001621,2023-03-08,2023-03-18,4,Quality Issue
O001622,2023-08-22,2023-08-27,4,None
O001623,2023-05-14,2023-05-19,3,Material Shortage
O001624,2023-06-14,2023-06-20,3,None
O001625,2023-02-02,2023-02-10,3,Material Shortage
O001626,2023-01-06,2023-01-14,0,Quality Issue
O001627,2023-07-22,2023-07-29,2,None
O001628,2023-05-04,2023-05-09,2,Material Shortage
O001629,2023-08-02,2023-08-09,4,None
O001630,2023-11-17,2023-11-23,0,None
O001631,2023-01-23,2023-02-01,0,Material Shortage
O001632,2023-12-15,2023-12-25,4,Machine Breakdown
O001633,2023-05-18,2023-05-22,2,None
O001634,2023-06-19,2023-06-27,2,Quality Issue
O001635,2023-11-21,2023-11-22,1,Quality Issue
O001636,2023-01-06,2023-01-11,0,Machine Breakdown
O001637,2023-04-24,2023-05-01,3,Material Shortage
O001638,2023-10-14,2023-10-15,0,Material Shortage
O001639,2023-03-08,2023-03-13,4,Quality Issue
O001640,2023-12-11,2023-12-19,4,None
O001641,2023-05-10,2023-05-12,1,None
O001642,2023-04-13,2023-04-17,3,None
O001643,2023-08-15,2023-08-24,2,Quality Issue
O001644,2023-09-21,2023-09-27,3,Material Shortage
O001645,2023-11-03,2023-11-11,3,Machine Breakdown
O001646,2023-02-28,2023-03-05,3,Machine Breakdown
O001647,2023-09-14,2023-09-15,2,Material Shortage
O001648,2023-10-07,2023-10-12,3,None
O001649,2023-01-27,2023-01-29,1,Quality Issue
O001650,2023-10-02,2023-10-07,0,Quality Issue
O001651,2023-01-09,2023-01-17,0,Material Shortage
O001652,2023-10-03,2023-10-10,2,None
O001653,2023-02-20,2023-02-22,3,None
O001654,2023-06-29,2023-07-04,4,Material Shortage
O001655,2023-08-25,2023-08-31,4,Machine Breakdown
O001656,2023-01-14,2023-01-18,3,Material Shortage
O001657,2023-07-24,2023-08-03,1,None
O001658,2023-02-06,2023-02-09,1,Material Shortage
O001659,2023-07-20,2023-07-30,2,None
O001660,2023-09-04,2023-09-07,3,Machine Breakdown
O001661,2023-06-23,2023-06-24,0,Machine Breakdown
O001662,2023-10-31,2023-11-04,2,Machine Breakdown
O001663,2023-09-05,2023-09-10,4,None
O001664,2023-02-25,2023-03-02,3,Quality Issue
O001665,2023-08-17,2023-08-18,0,None
O001666,2023-02-04,2023-02-10,1,Material Shortage
O001667,2023-07-08,2023-07-13,0,None
O001668,2023-08-21,2023-08-28,3,Material Shortage
O001669,2023-07-25,2023-07-28,1,None
O001670,2023-01-18,2023-01-20,3,None
O001671,2023-08-25,2023-09-01,0,Machine Breakdown
O001672,2023-12-14,2023-12-20,2,Machine Breakdown
O001673,2023-09-26,2023-10-04,4,None
O001674,2023-09-03,2023-09-06,3,Machine Breakdown
O001675,2023-02-18,2023-02-27,3,Quality Issue
O001676,2024-01-04,2024-01-13,0,None
O001677,2023-10-26,2023-10-29,0,Quality Issue
O001678,2023-01-17,2023-01-20,3,Machine Breakdown
O001679,2023-01-03,2023-01-13,4,Quality Issue
O001680,2023-06-06,2023-06-15,1,Machine Breakdown
O001681,2023-01-31,2023-02-09,2,Machine Breakdown
O001682,2023-08-01,2023-08-03,0,Material Shortage
O001683,2023-05-03,2023-05-06,3,None
O001684,2023-02-16,2023-02-22,0,None
O001685,2023-05-24,2023-06-02,1,Quality Issue
O001686,2023-07-25,2023-07-28,3,Machine Breakdown
O001687,2023-08-03,2023-08-06,2,None
O001688,2023-02-18,2023-02-21,4,Material Shortage
O001689,2023-12-17,2023-12-23,0,None
O001690,2023-09-17,2023-09-21,4,Quality Issue
O001691,2023-01-26,2023-01-27,3,Machine Breakdown
O001692,2023-01-05,2023-01-12,2,Machine Breakdown
O001693,2023-09-02,2023-09-07,3,None
O001694,2023-01-17,2023-01-22,1,Machine Breakdown
O001695,2023-09-18,2023-09-19,3,Quality Issue
O001696,2023-05-29,2023-06-08,4,Quality Issue
O001697,2023-06-17,2023-06-25,1,Machine Breakdown
O001698,2023-04-01,2023-04-07,1,Quality Issue
O001699,2023-11-04,2023-11-13,3,None
O001700,2023-03-28,2023-04-06,2,Quality Issue
O001701,2023-05-26,2023-05-31,4,Quality Issue
O001702,2023-03-01,2023-03-06,1,Material Shortage
O001703,2023-02-16,2023-02-23,4,Quality Issue
O001704,2023-01-31,2023-02-01,4,Material Shortage
O001705,2023-10-30,2023-11-05,4,None
O001706,2023-09-08,2023-09-12,2,Machine Breakdown
O001707,2023-11-02,2023-11-03,4,None
O001708,2023-06-08,2023-06-10,3,Material Shortage
O001709,2023-08-29,2023-09-04,4,Quality Issue
O001710,2023-12-12,2023-12-14,4,None
O001711,2023-11-09,2023-11-17,3,Material Shortage
O001712,2023-07-12,2023-07-21,1,Material Shortage
O001713,2023-07-27,2023-08-05,0,Machine Breakdown
O001714,2023-06-23,2023-06-29,0,Material Shortage
O001715,2023-09-24,2023-10-04,2,None
O001716,2023-05-07,2023-05-10,4,None
O001717,2023-08-15,2023-08-22,4,None
O001718,2023-05-10,2023-05-14,2,Machine Breakdown
O001719,2023-06-20,2023-06-23,1,Material Shortage
O001720,2023-09-18,2023-09-24,2,Machine Breakdown
O001721,2023-05-23,2023-06-01,0,None
O001722,2023-06-10,2023-06-17,1,None
O001723,2023-06-22,2023-06-27,2,Machine Breakdown
O001724,2023-03-10,2023-03-11,4,None
O001725,2023-11-22,2023-11-24,2,None
O001726,2023-11-05,2023-11-13,2,Quality Issue
O001727,2023-03-18,2023-03-24,3,Material Shortage
O001728,2023-12-15,2023-12-25,4,Quality Issue
O001729,2023-07-03,2023-07-11,0,Quality Issue
O001730,2023-03-03,2023-03-07,1,None
O001731,2023-07-29,2023-08-04,4,None
O001732,2023-06-12,2023-06-16,4,Quality Issue
O001733,2023-10-24,2023-10-26,1,Quality Issue
O001734,2023-05-08,2023-05-12,4,Machine Breakdown
O001735,2023-08-19,2023-08-24,0,None
O001736,2023-06-30,2023-07-01,2,Material Shortage
O001737,2023-09-02,2023-09-05,0,Material Shortage
O001738,2023-06-17,2023-06-26,1,Machine Breakdown
O001739,2023-12-05,2023-12-07,3,Quality Issue
O001740,2023-03-16,2023-03-25,3,Machine Breakdown
O001741,2023-12-30,2024-01-09,0,Quality Issue
O001742,2023-04-29,2023-05-01,3,None
O001743,2023-10-17,2023-10-26,4,Machine Breakdown
O001744,2023-05-11,2023-05-16,1,Machine Breakdown
O001745,2023-09-30,2023-10-03,4,Machine Breakdown
O001746,2023-07-28,2023-08-03,0,Machine Breakdown
O001747,2023-06-26,2023-07-06,2,Machine Breakdown
O001748,2023-03-22,2023-03-25,4,Machine Breakdown
O001749,2023-11-26,2023-12-01,4,Machine Breakdown
O001750,2023-11-28,2023-12-04,3,Material Shortage
O001751,2023-06-01,2023-06-07,3,None
O001752,2023-12-06,2023-12-07,1,Machine Breakdown
O001753,2023-11-09,2023-11-10,0,Material Shortage
O001754,2023-09-18,2023-09-21,1,Material Shortage
O001755,2023-12-18,2023-12-23,2,Material Shortage
O001756,2023-12-02,2023-12-09,0,None
O001757,2023-04-04,2023-04-07,4,Quality Issue
O001758,2023-08-04,2023-08-13,0,Material Shortage
O001759,2023-02-28,2023-03-08,4,Material Shortage
O001760,2023-11-09,2023-11-19,4,Machine Breakdown
O001761,2023-02-14,2023-02-24,2,Quality Issue
O001762,2023-10-02,2023-10-05,0,Quality Issue
O001763,2023-04-03,2023-04-06,1,Material Shortage
O001764,2023-10-19,2023-10-29,4,Machine Breakdown
O001765,2023-08-15,2023-08-16,0,None
O001766,2023-01-22,2023-01-29,1,Machine Breakdown
O001767,2023-03-08,2023-03-17,4,None
O001768,2023-12-10,2023-12-17,3,Machine Breakdown
O001769,2023-01-07,2023-01-09,4,Machine Breakdown
O001770,2023-11-07,2023-11-14,0,Material Shortage
O001771,2023-08-08,2023-08-16,0,Machine Breakdown
O001772,2023-03-22,2023-03-25,4,Material Shortage
O001773,2023-08-15,2023-08-24,2,Quality Issue
O001774,2023-07-08,2023-07-15,1,Material Shortage
O001775,2023-09-09,2023-09-18,2,Quality Issue
O001776,2023-12-30,2024-01-07,0,None
O001777,2023-02-18,2023-02-27,0,None
O001778,2023-07-11,2023-07-12,4,Material Shortage
O001779,2023-05-16,2023-05-25,2,Quality Issue
O001780,2023-06-20,2023-06-29,0,None
O001781,2023-07-22,2023-07-30,4,Machine Breakdown
O001782,2023-05-22,2023-05-29,2,Material Shortage
O001783,2023-09-27,2023-09-29,4,None
O001784,2023-12-15,2023-12-16,4,Quality Issue
O001785,2023-09-25,2023-10-04,1,Quality Issue
O001786,2023-11-05,2023-11-08,1,Machine Breakdown
O001787,2023-03-04,2023-03-08,4,None
O001788,2023-11-10,2023-11-12,0,Material Shortage
O001789,2023-09-02,2023-09-09,1,None
O001790,2023-11-10,2023-11-18,2,Quality Issue
O001791,2023-11-17,2023-11-18,0,Machine Breakdown
O001792,2023-02-10,2023-02-13,1,None
O001793,2023-05-27,2023-05-28,2,Material Shortage
O001794,2023-08-29,2023-08-31,0,Material Shortage
O001795,2023-07-19,2023-07-27,1,Machine Breakdown
O001796,2023-09-22,2023-10-01,4,Material Shortage
O001797,2023-10-10,2023-10-16,1,None
O001798,2023-04-17,2023-04-23,3,Quality Issue
O001799,2023-10-19,2023-10-23,3,Quality Issue
O001800,2023-06-30,2023-07-03,4,Quality Issue
O001801,2023-08-02,2023-08-07,0,Material Shortage
O001802,2023-05-01,2023-05-09,2,Machine Breakdown
O001803,2023-09-22,2023-09-30,1,Machine Breakdown
O001804,2023-10-24,2023-10-28,4,Quality Issue
O001805,2023-11-10,2023-11-18,3,None
O001806,2023-10-28,2023-11-07,0,Material Shortage
O001807,2023-03-13,2023-03-22,0,None
O001808,2023-06-20,2023-06-24,3,Material Shortage
O001809,2023-11-04,2023-11-14,3,None
O001810,2023-04-30,2023-05-09,2,Material Shortage
O001811,2023-05-27,2023-05-30,1,Machine Breakdown
O001812,2023-11-14,2023-11-23,3,Material Shortage
O001813,2023-06-20,2023-06-27,1,Material Shortage
O001814,2023-10-26,2023-11-03,4,None
O001815,2023-05-28,2023-05-29,2,Quality Issue
O001816,2023-10-09,2023-10-17,2,None
O001817,2023-05-04,2023-05-11,1,None
O001818,2023-07-20,2023-07-30,3,Quality Issue
O001819,2023-11-16,2023-11-25,1,Quality Issue
O001820,2023-10-09,2023-10-10,1,Quality Issue
O001821,2023-05-04,2023-05-10,2,None
O001822,2023-02-06,2023-02-07,2,None
O001823,2023-05-10,2023-05-13,1,Quality Issue
O001824,2023-10-12,2023-10-19,4,Machine Breakdown
O001825,2023-05-13,2023-05-14,0,Machine Breakdown
O001826,2023-12-17,2023-12-22,4,Material Shortage
O001827,2023-06-10,2023-06-15,4,Machine Breakdown
O001828,2023-12-26,2024-01-05,0,Machine Breakdown
O001829,2023-01-19,2023-01-28,2,None
O001830,2023-05-15,2023-05-16,2,Material Shortage
O001831,2023-12-19,2023-12-29,0,Machine Breakdown
O001832,2023-05-05,2023-05-10,2,Quality Issue
O001833,2023-01-16,2023-01-26,0,Material Shortage
O001834,2023-06-18,2023-06-27,3,Machine Breakdown
O001835,2023-03-30,2023-04-06,3,Machine Breakdown
O001836,2023-04-25,2023-05-05,4,Quality Issue
O001837,2023-02-08,2023-02-17,2,Material Shortage
O001838,2023-06-07,2023-06-12,1,Quality Issue
O001839,2023-03-22,2023-03-28,1,None
O001840,2023-07-26,2023-07-27,0,Quality Issue
O001841,2023-08-05,2023-08-08,1,None
O001842,2023-05-08,2023-05-14,1,Quality Issue
O001843,2023-05-10,2023-05-19,4,Machine Breakdown
O001844,2023-11-20,2023-11-28,2,None
O001845,2023-09-11,2023-09-20,4,None
O001846,2023-09-19,2023-09-20,0,Quality Issue
O001847,2023-05-23,2023-05-24,4,None
O001848,2023-02-16,2023-02-23,2,Material Shortage
O001849,2023-08-13,2023-08-19,0,Material Shortage
O001850,2023-10-25,2023-11-01,3,None
O001851,2023-11-24,2023-11-25,0,Machine Breakdown
O001852,2023-12-14,2023-12-17,1,Machine Breakdown
O001853,2023-08-19,2023-08-25,3,Machine Breakdown
O001854,2023-03-13,2023-03-14,3,Machine Breakdown
O001855,2023-03-30,2023-04-09,4,Machine Breakdown
O001856,2023-07-07,2023-07-13,1,None
O001857,2023-08-31,2023-09-06,1,Quality Issue
O001858,2023-03-15,2023-03-17,3,Material Shortage
O001859,2023-08-30,2023-09-09,0,Machine Breakdown
O001860,2023-08-14,2023-08-20,1,Machine Breakdown
O001861,2023-12-26,2023-12-30,0,Quality Issue
O001862,2023-08-26,2023-09-01,0,None
O001863,2023-02-10,2023-02-19,1,Machine Breakdown
O001864,2023-12-09,2023-12-14,0,Material Shortage
O001865,2023-09-24,2023-09-28,2,Quality Issue
O001866,2023-02-11,2023-02-15,1,Quality Issue
O001867,2023-03-08,2023-03-11,2,Material Shortage
O001868,2023-05-31,2023-06-01,4,Quality Issue
O001869,2023-08-13,2023-08-16,4,Material Shortage
O001870,2023-10-31,2023-11-04,0,Machine Breakdown
O001871,2023-01-23,2023-01-26,2,Quality Issue
O001872,2023-07-18,2023-07-26,2,Machine Breakdown
O001873,2023-02-25,2023-03-07,0,None
O001874,2023-07-21,2023-07-28,2,None
O001875,2023-12-19,2023-12-26,1,None
O001876,2023-01-28,2023-02-07,2,Quality Issue
O001877,2023-08-14,2023-08-23,2,Material Shortage
O001878,2023-06-01,2023-06-07,4,Material Shortage
O001879,2023-11-27,2023-12-05,1,None
O001880,2023-06-23,2023-06-28,4,Machine Breakdown
O001881,2023-09-13,2023-09-16,4,None
O001882,2023-04-15,2023-04-21,3,Quality Issue
O001883,2023-07-07,2023-07-14,1,Quality Issue
O001884,2023-05-23,2023-05-30,2,Material Shortage
O001885,2023-10-25,2023-10-30,3,Material Shortage
O001886,2023-03-23,2023-04-01,1,Material Shortage
O001887,2023-08-26,2023-08-28,3,Machine Breakdown
O001888,2023-09-05,2023-09-11,4,None
O001889,2023-11-15,2023-11-19,4,Quality Issue
O001890,2023-04-03,2023-04-06,4,Quality Issue
O001891,2023-07-17,2023-07-26,1,None
O001892,2023-10-01,2023-10-10,2,Material Shortage
O001893,2023-12-10,2023-12-15,0,Material Shortage
O001894,2023-11-12,2023-11-16,2,None
O001895,2023-03-24,2023-03-30,4,Material Shortage
O001896,2023-01-09,2023-01-11,3,Material Shortage
O001897,2023-07-03,2023-07-06,2,Quality Issue
O001898,2023-01-13,2023-01-16,0,Material Shortage
O001899,2023-09-30,2023-10-05,0,Machine Breakdown
O001900,2023-04-15,2023-04-21,0,None
O001901,2023-03-26,2023-04-03,1,Quality Issue
O001902,2023-01-28,2023-02-04,1,Machine Breakdown
O001903,2023-05-25,2023-05-31,1,Material Shortage
O001904,2023-08-24,2023-09-02,0,Material Shortage
O001905,2023-04-03,2023-04-13,3,Machine Breakdown
O001906,2023-02-03,2023-02-11,0,None
O001907,2023-11-20,2023-11-24,2,Machine Breakdown
O001908,2023-09-26,2023-10-06,4,None
O001909,2023-11-11,2023-11-14,2,Quality Issue
O001910,2023-02-13,2023-02-17,1,Material Shortage
O001911,2023-04-30,2023-05-09,2,Machine Breakdown
O001912,2023-12-07,2023-12-09,0,Quality Issue
O001913,2023-02-24,2023-02-26,4,Quality Issue
O001914,2023-06-14,2023-06-18,0,Machine Breakdown
O001915,2023-06-03,2023-06-13,3,None
O001916,2023-11-04,2023-11-06,0,Material Shortage
O001917,2023-05-05,2023-05-15,4,Quality Issue
O001918,2023-09-18,2023-09-28,1,None
O001919,2023-10-24,2023-10-28,0,None
O001920,2023-11-16,2023-11-24,3,Quality Issue
O001921,2023-04-09,2023-04-19,2,Material Shortage
O001922,2023-07-22,2023-07-23,0,Machine Breakdown
O001923,2023-05-29,2023-06-01,2,None
O001924,2023-08-24,2023-09-01,0,Material Shortage
O001925,2023-08-15,2023-08-18,2,Quality Issue
O001926,2023-08-17,2023-08-21,1,None
O001927,2023-06-16,2023-06-22,2,None
O001928,2023-04-02,2023-04-10,3,None
O001929,2023-11-22,2023-12-02,1,Quality Issue
O001930,2023-02-06,2023-02-13,4,None
O001931,2023-08-25,2023-08-26,1,Machine Breakdown
O001932,2023-02-23,2023-03-02,1,Material Shortage
O001933,2023-11-01,2023-11-02,0,Machine Breakdown
O001934,2023-06-14,2023-06-20,2,Quality Issue
O001935,2023-10-03,2023-10-10,0,Machine Breakdown
O001936,2023-09-24,2023-09-30,2,None
O001937,2023-04-24,2023-04-25,3,None
O001938,2023-03-23,2023-03-28,1,Machine Breakdown
O001939,2023-07-06,2023-07-09,0,Material Shortage
O001940,2023-12-08,2023-12-15,3,None
O001941,2023-08-24,2023-08-30,1,Quality Issue
O001942,2023-10-11,2023-10-15,2,Quality Issue
O001943,2023-06-12,2023-06-13,3,Machine Breakdown
O001944,2023-09-07,2023-09-14,4,Material Shortage
O001945,2023-06-30,2023-07-07,2,Machine Breakdown
O001946,2023-10-27,2023-11-02,0,Quality Issue
O001947,2023-10-24,2023-10-31,0,Machine Breakdown
O001948,2023-04-29,2023-04-30,2,Quality Issue
O001949,2023-01-11,2023-01-18,3,Machine Breakdown
O001950,2023-03-29,2023-04-07,1,None
O001951,2023-08-04,2023-08-08,2,Material Shortage
O001952,2023-05-15,2023-05-23,1,Material Shortage
O001953,2023-04-29,2023-05-01,3,Material Shortage
O001954,2023-07-12,2023-07-21,1,Machine Breakdown
O001955,2023-04-28,2023-04-30,0,Quality Issue
O001956,2023-01-26,2023-02-01,0,Quality Issue
O001957,2023-11-25,2023-12-01,3,None
O001958,2023-05-02,2023-05-11,1,None
O001959,2023-03-09,2023-03-15,3,None
O001960,2023-09-01,2023-09-07,4,Machine Breakdown
O001961,2023-11-15,2023-11-18,4,Quality Issue
O001962,2023-03-11,2023-03-19,3,Quality Issue
O001963,2023-12-28,2024-01-07,1,None
O001964,2023-11-26,2023-12-04,0,Machine Breakdown
O001965,2023-11-10,2023-11-14,0,Quality Issue
O001966,2023-08-26,2023-08-28,1,Quality Issue
O001967,2023-01-01,2023-01-09,2,Machine Breakdown
O001968,2023-12-30,2023-12-31,1,Material Shortage
O001969,2023-10-27,2023-11-03,2,Quality Issue
O001970,2023-08-10,2023-08-17,2,Quality Issue
O001971,2023-12-09,2023-12-19,1,Machine Breakdown
O001972,2023-10-22,2023-10-29,1,Material Shortage
O001973,2023-06-25,2023-06-29,0,Machine Breakdown
O001974,2023-03-09,2023-03-10,4,None
O001975,2023-11-27,2023-12-03,1,Quality Issue
O001976,2023-02-01,2023-02-04,0,Material Shortage
O001977,2023-06-07,2023-06-17,1,None
O001978,2023-07-19,2023-07-29,4,Material Shortage
O001979,2023-11-17,2023-11-18,0,Quality Issue
O001980,2023-06-23,2023-06-25,2,Material Shortage
O001981,2023-11-17,2023-11-26,0,Quality Issue
O001982,2023-07-04,2023-07-14,1,Machine Breakdown
O001983,2023-09-11,2023-09-17,3,Quality Issue
O001984,2023-04-09,2023-04-19,0,Machine Breakdown
O001985,2023-07-15,2023-07-24,1,Machine Breakdown
O001986,2023-11-07,2023-11-14,3,Material Shortage
O001987,2023-10-04,2023-10-06,0,Material Shortage
O001988,2023-05-30,2023-06-04,0,None
O001989,2023-07-21,2023-07-30,4,None
O001990,2023-05-23,2023-05-26,0,Quality Issue
O001991,2023-08-22,2023-08-27,4,Quality Issue
O001992,2023-11-09,2023-11-12,2,None
O001993,2024-01-01,2024-01-08,4,Machine Breakdown
O001994,2023-10-24,2023-10-29,0,None
O001995,2023-11-06,2023-11-09,4,Material Shortage
O001996,2023-04-17,2023-04-20,3,Material Shortage
O001997,2023-07-24,2023-07-26,4,None
O001998,2023-05-22,2023-05-23,2,Quality Issue
O001999,2023-08-02,2023-08-06,2,None
O002000,2023-04-14,2023-04-20,2,None
O002001,2023-11-21,2023-11-24,2,Quality Issue
O002002,2023-03-30,2023-04-07,3,Material Shortage
O002003,2023-10-27,2023-10-31,3,Machine Breakdown
O002004,2023-01-11,2023-01-19,0,Material Shortage
O002005,2023-03-17,2023-03-20,3,None
